,시간,시가,고가,저가,종가,거래량
31199,2017-10-05T07:00:00,4877000,4926000,4869000,4902000,0.121354
31198,2017-10-05T08:00:00,4900000,4928000,4885000,4895000,0.343016
31197,2017-10-05T09:00:00,4894000,4924000,4854000,4885000,0.14743
31196,2017-10-05T10:00:00,4890000,4930000,4867000,4918000,1.13454091
31195,2017-10-05T11:00:00,4916000,4920000,4856000,4864000,0.135657
31194,2017-10-05T12:00:00,4868000,4906000,4824000,4826000,0.150697
31193,2017-10-05T13:00:00,4858000,4862000,4811000,4826000,0.117101
31192,2017-10-05T14:00:00,4829000,4852000,4811000,4849000,0.18825371
31191,2017-10-05T15:00:00,4812000,4865000,4812000,4862000,0.134152
31190,2017-10-05T16:00:00,4839000,4858000,4839000,4858000,0.09499125
31189,2017-10-05T19:00:00,4877000,4937000,4877000,4930000,0.24167
31188,2017-10-05T20:00:00,4937000,4939000,4893000,4904000,1.05587475
31187,2017-10-05T21:00:00,4903000,4993000,4903000,4962000,0.104059
31186,2017-10-05T22:00:00,4985000,4988000,4916000,4958000,0.13336
31185,2017-10-05T23:00:00,4960000,4965000,4923000,4954000,0.161029
31184,2017-10-06T00:00:00,4928000,4980000,4923000,4938000,0.152651
31183,2017-10-06T01:00:00,4938000,4964000,4922000,4959000,0.14070882
31182,2017-10-06T02:00:00,4947000,4964000,4914000,4955000,0.143153
31181,2017-10-06T03:00:00,4923000,4985000,4923000,4971000,0.123978
31180,2017-10-06T04:00:00,4972000,4989000,4941000,4951000,0.128259
31179,2017-10-06T05:00:00,4953000,4990000,4917000,4949000,0.113699
31178,2017-10-06T06:00:00,4948000,4975000,4928000,4964000,0.49083903
31177,2017-10-06T07:00:00,4965000,4985000,4926000,4984000,0.13381128
31176,2017-10-06T08:00:00,4960000,4989000,4919000,4926000,0.137737
31175,2017-10-06T09:00:00,4927000,4975000,4917000,4974000,0.123415
31174,2017-10-06T10:00:00,4974000,4989000,4941000,4948000,0.122746
31173,2017-10-06T11:00:00,4948000,4986000,4942000,4947000,0.118383
31172,2017-10-06T12:00:00,4978000,4979000,4944000,4948000,0.14287
31171,2017-10-06T13:00:00,4948000,4970000,4948000,4948000,0.121478
31170,2017-10-06T14:00:00,4948000,4989000,4948000,4976000,0.14677286
31169,2017-10-06T15:00:00,4968000,5015000,4968000,5013000,0.080616
31168,2017-10-06T16:00:00,5018000,5018000,5018000,5018000,0.21194278
31167,2017-10-06T17:00:00,4932000,4954000,4885000,4954000,21.30097763
31166,2017-10-06T18:00:00,5015000,5026000,4975000,4978000,0.073216
31165,2017-10-06T19:00:00,5026000,5031000,4972000,5018000,0.145266
31164,2017-10-06T20:00:00,4979000,5016000,4963000,5004000,0.135348
31163,2017-10-06T21:00:00,4967000,5013000,4948000,4994000,0.135533
31162,2017-10-06T22:00:00,4959000,4992000,4936000,4940000,0.824517
31161,2017-10-06T23:00:00,4983000,5016000,4940000,5000000,0.138879
31160,2017-10-07T00:00:00,5002000,5014000,4953000,4961000,0.140929
31159,2017-10-07T01:00:00,4996000,5006000,4946000,4993000,0.136752
31158,2017-10-07T02:00:00,4993000,5005000,4930000,4935000,0.144241
31157,2017-10-07T03:00:00,4929000,4977000,4923000,4977000,0.131375
31156,2017-10-07T04:00:00,4934000,4977000,4917000,4973000,0.138311
31155,2017-10-07T05:00:00,4973000,4994000,4934000,4977000,0.145209
31154,2017-10-07T06:00:00,4977000,5003000,4935000,4961000,0.13101
31153,2017-10-07T07:00:00,4955000,5015000,4950000,5010000,0.246262
31151,2017-10-07T08:00:00,4966000,5034000,4964000,5027000,0.127771
31152,2017-10-07T08:00:00,4966000,5034000,4964000,5027000,0.127771
31150,2017-10-07T09:00:00,4983000,5031000,4961000,4978000,0.130864
31149,2017-10-07T10:00:00,4982000,5021000,4965000,4967000,0.139946
31148,2017-10-07T11:00:00,5012000,5014000,4959000,5004000,0.133008
31147,2017-10-07T12:00:00,4971000,5015000,4961000,4971000,0.086796
31146,2017-10-07T14:00:00,4985000,5025000,4972000,4973000,0.122663
31145,2017-10-07T15:00:00,4973000,5021000,4947000,4947000,0.157453
31144,2017-10-07T16:00:00,4989000,4999000,4935000,4983000,0.143649
31143,2017-10-07T17:00:00,4951000,5017000,4950000,5006000,0.149029
31142,2017-10-07T18:00:00,5007000,5010000,4957000,5004000,0.127977
31141,2017-10-07T19:00:00,4971000,5010000,4955000,4960000,0.14958
31140,2017-10-07T20:00:00,4993000,4998000,4960000,4982000,0.1733086
31139,2017-10-07T21:00:00,4983000,5004000,4962000,5004000,0.145304
31138,2017-10-07T22:00:00,4997000,5024000,4962000,4977000,0.161624
31137,2017-10-07T23:00:00,4978000,5022000,4962000,4962000,0.159175
31136,2017-10-08T00:00:00,4962000,5016000,4962000,4976000,0.151428
31135,2017-10-08T01:00:00,4976000,5015000,4962000,4970000,0.136135
31134,2017-10-08T02:00:00,5006000,5021000,4964000,5008000,0.134086
31133,2017-10-08T03:00:00,5014000,5020000,4967000,4973000,1.26768038
31132,2017-10-08T04:00:00,4972000,5017000,4965000,4971000,0.14639902
31131,2017-10-08T05:00:00,4970000,5019000,4965000,4968000,0.131839
31130,2017-10-08T06:00:00,5017000,5018000,4963000,4970000,0.120532
